Date,Description,Amount,Type,Account,CategoryID
1/1/2018,Amazon,11.11,debit,Platinum Card,1
1/13/2018,Amazon,39.05,debit,Platinum Card,1
1/20/2018,Amazon,50.21,debit,Platinum Card,1
1/2/2018,Mortgage Payment,1247.44,debit,Checking,2
1/2/2018,Thai Restaurant,24.22,debit,Silver Card,3
1/5/2018,American Tavern,25.85,debit,Silver Card,3
1/15/2018,American Tavern,64.11,debit,Silver Card,3
1/3/2018,Credit Card Payment,2298.09,credit,Platinum Card,4
1/22/2018,Credit Card Payment,554.99,credit,Platinum Card,4
1/4/2018,Netflix,11.76,debit,Platinum Card,5
1/6/2018,Hardware Store,18.45,debit,Silver Card,6
1/8/2018,Hardware Store,15.38,debit,Silver Card,6
1/8/2018,Gas Company,45,debit,Checking,7
1/16/2018,City Water Charges,35,debit,Checking,7
1/16/2018,Power Company,60,debit,Checking,7
1/9/2018,Spotify,10.69,debit,Platinum Card,8
1/10/2018,Phone Company,89.46,debit,Checking,9
1/11/2018,Shell,34.87,debit,Platinum Card,10
1/11/2018,Grocery Store,43.54,debit,Platinum Card,11
1/15/2018,Grocery Store,44.19,debit,Silver Card,11
1/12/2018,Biweekly Paycheck,2000,credit,Checking,12
1/19/2018,Biweekly Paycheck,2000,credit,Checking,12
1/13/2018,Pizza Place,32.91,debit,Platinum Card,13
1/22/2018,Credit Card Payment,309.81,credit,Silver Card,4
1/22/2018,Credit Card Payment,554.99,debit,Checking,4
1/22/2018,Hardware Store,17.38,debit,Silver Card,6
1/23/2018,Credit Card Payment,309.81,debit,Checking,4
1/24/2018,Starbucks,3,debit,Platinum Card,14
1/25/2018,Internet Service Provider,69.99,debit,Checking,15
1/29/2018,Shell,30.42,debit,Silver Card,10
1/29/2018,Thai Restaurant,25,debit,Silver Card,3
1/29/2018,Brunch Restaurant,17.62,debit,Platinum Card,3
2/1/2018,Grocery Store,27.79,debit,Platinum Card,11
2/1/2018,Amazon,11.11,debit,Platinum Card,1
2/2/2018,Mortgage Payment,1247.44,debit,Checking,2
2/2/2018,Biweekly Paycheck,2000,credit,Checking,12
2/3/2018,Japanese Restaurant,57.02,debit,Platinum Card,3
2/4/2018,Netflix,11.76,debit,Platinum Card,5
2/5/2018,Credit Card Payment,145.14,credit,Platinum Card,4
2/6/2018,Credit Card Payment,154.13,credit,Silver Card,4
2/7/2018,Credit Card Payment,154.13,debit,Checking,4
2/7/2018,Gas Company,65,debit,Checking,7
2/9/2018,Barbershop,30,debit,Platinum Card,16
2/9/2018,Spotify,10.69,debit,Platinum Card,8
2/10/2018,Bojangles,10.66,debit,Platinum Card,13
2/11/2018,Fancy Restaurant,106.8,debit,Platinum Card,3
2/12/2018,Shell,36.47,debit,Silver Card,10
2/12/2018,Phone Company,89.52,debit,Checking,9
2/14/2018,Brewing Company,14,debit,Silver Card,17
2/15/2018,American Tavern,10,debit,Platinum Card,3
2/15/2018,Power Company,60,debit,Checking,7
2/16/2018,Biweekly Paycheck,2000,credit,Checking,12
2/16/2018,Brunch Restaurant,8,debit,Silver Card,3
2/16/2018,City Water Charges,35,debit,Checking,7
2/20/2018,Grocery Store,35.95,debit,Silver Card,11
2/20/2018,Mexican Restaurant,23.51,debit,Silver Card,3
2/21/2018,Starbucks,2,debit,Platinum Card,14
2/22/2018,Starbucks,4,debit,Silver Card,14
2/26/2018,Credit Card Payment,765.37,credit,Platinum Card,4
2/26/2018,Credit Card Payment,156.11,credit,Silver Card,4
2/26/2018,Credit Card Payment,765.37,debit,Checking,4
2/26/2018,Internet Service Provider,74.99,debit,Checking,15
2/26/2018,American Tavern,85.52,debit,Silver Card,3
2/26/2018,Gas Station,32.21,debit,Silver Card,10
2/27/2018,Credit Card Payment,156.11,debit,Checking,4
3/1/2018,Grocery Store,32.07,debit,Silver Card,11
3/1/2018,Amazon,13.13,debit,Platinum Card,1
3/2/2018,Mortgage Payment,1247.44,debit,Checking,2
3/2/2018,Biweekly Paycheck,2000,credit,Checking,12
3/3/2018,Grocery Store,23.74,debit,Silver Card,11
3/4/2018,Grocery Store,10.69,debit,Platinum Card,11
3/4/2018,Netflix,11.76,debit,Platinum Card,5
3/4/2018,BBQ Restaurant,42.24,debit,Platinum Card,3
3/5/2018,Starbucks,3,debit,Platinum Card,14
3/5/2018,Credit Card Payment,761.59,credit,Silver Card,4
3/5/2018,Credit Card Payment,761.59,debit,Checking,4
3/7/2018,Starbucks,3.5,debit,Platinum Card,14
3/8/2018,BP,34.9,debit,Platinum Card,10
3/8/2018,Gas Company,52,debit,Checking,7
3/9/2018,Grocery Store,20.72,debit,Platinum Card,11
3/9/2018,Grocery Store,5.09,debit,Platinum Card,11
3/9/2018,Spotify,10.69,debit,Platinum Card,8
3/12/2018,Grocery Store,19.35,debit,Platinum Card,11
3/12/2018,Phone Company,89.52,debit,Checking,9
3/13/2018,Amazon,45.75,debit,Platinum Card,1
3/14/2018,Grocery Store,22.5,debit,Platinum Card,11
3/14/2018,Brunch Restaurant,8.49,debit,Platinum Card,3
3/15/2018,Starbucks,3.5,debit,Platinum Card,14
3/15/2018,Power Company,60,debit,Checking,7
3/16/2018,Biweekly Paycheck,2000,credit,Checking,12
3/17/2018,Brewing Company,19.5,debit,Silver Card,17
3/17/2018,Pizza Place,23.34,debit,Platinum Card,13
3/19/2018,Mediterranean Restaurant,36.48,debit,Silver Card,3
3/19/2018,City Water Charges,35,debit,Checking,7
3/20/2018,Amazon,14.97,debit,Platinum Card,1
3/22/2018,BP,30.55,debit,Silver Card,10
3/23/2018,Credit Card Payment,559.91,credit,Platinum Card,4
3/23/2018,Credit Card Payment,559.91,debit,Checking,4
3/23/2018,Grocery Store,11.76,debit,Silver Card,11
3/26/2018,Internet Service Provider,74.99,debit,Checking,15
3/28/2018,Grocery Store,16.06,debit,Silver Card,11
3/28/2018,Pizza Place,24.98,debit,Silver Card,3
3/29/2018,Steakhouse,17.64,debit,Silver Card,3
3/30/2018,Grocery Store,9.09,debit,Silver Card,11
3/30/2018,Biweekly Paycheck,2000,credit,Checking,12
3/31/2018,Belgian Restaurant,38.32,debit,Platinum Card,3
3/31/2018,Chili's,24.74,debit,Platinum Card,3
3/31/2018,Greek Restaurant,41.16,debit,Silver Card,3
4/1/2018,Grocery Store,80.79,debit,Platinum Card,11
4/1/2018,Brewing Company,59.48,debit,Platinum Card,3
4/1/2018,Amazon,13.13,debit,Platinum Card,1
4/2/2018,Credit Card Payment,817.14,credit,Silver Card,4
4/2/2018,Credit Card Payment,817.14,debit,Checking,4
4/2/2018,Grocery Store,82.36,debit,Platinum Card,11
4/2/2018,Hardware Store,13.89,debit,Platinum Card,6
4/2/2018,Mortgage Payment,1247.44,debit,Checking,2
4/3/2018,Amazon Video,6.41,debit,Platinum Card,5
4/4/2018,Credit Card Payment,363.08,credit,Platinum Card,4
4/4/2018,Credit Card Payment,363.08,debit,Checking,4
4/4/2018,Netflix,11.76,debit,Platinum Card,5
4/6/2018,Chevron,4.58,debit,Platinum Card,10
4/6/2018,Tiny Deli,9.76,debit,Platinum Card,3
4/8/2018,Irish Pub,22,debit,Platinum Card,3
4/9/2018,Blue Sky Market,6.48,debit,Silver Card,11
4/9/2018,Spotify,10.69,debit,Platinum Card,8
4/9/2018,Gas Company,30,debit,Checking,7
4/11/2018,Phone Company,89.52,debit,Checking,9
4/12/2018,Starbucks,7,debit,Platinum Card,14
4/12/2018,Barbershop,30,debit,Platinum Card,16
4/13/2018,BP,37.98,debit,Platinum Card,10
4/13/2018,Biweekly Paycheck,2000,credit,Checking,12
4/13/2018,American Tavern,10.66,debit,Platinum Card,3
4/14/2018,Hardware Store,11.61,debit,Platinum Card,6
4/14/2018,American Tavern,41,debit,Platinum Card,3
4/16/2018,State Farm,75,debit,Checking,18
4/16/2018,City Water Charges,35,debit,Checking,7
4/18/2018,Power Company,60,debit,Checking,7
4/20/2018,Thai Restaurant,24.22,debit,Silver Card,3
4/21/2018,Grocery Store,4.32,debit,Silver Card,11
4/21/2018,American Tavern,35.15,debit,Silver Card,3
4/22/2018,Grocery Store,21.32,debit,Platinum Card,11
4/23/2018,Hardware Store,42.7,debit,Silver Card,6
4/24/2018,Hardware Store,224.7,debit,Platinum Card,6
4/24/2018,Amazon,41.34,debit,Platinum Card,1
4/25/2018,Hardware Store,210.79,debit,Silver Card,6
4/25/2018,Internet Service Provider,74.99,debit,Checking,15
4/26/2018,Credit Card Payment,769.72,credit,Silver Card,4
4/26/2018,Credit Card Payment,1216.94,credit,Platinum Card,4
4/26/2018,Credit Card Payment,1216.94,debit,Checking,4
4/27/2018,Credit Card Payment,769.72,debit,Checking,4
4/27/2018,Biweekly Paycheck,2000,credit,Checking,12
4/28/2018,Grocery Store,22.98,debit,Silver Card,11
4/29/2018,QuikTrip,39,debit,Platinum Card,10
4/29/2018,Grocery Store,51.05,debit,Platinum Card,11
4/29/2018,Hardware Store,68.47,debit,Platinum Card,6
4/30/2018,Grocery Store,5.09,debit,Platinum Card,11
5/1/2018,Amazon,13.13,debit,Platinum Card,1
5/2/2018,Mortgage Payment,1247.44,debit,Checking,2
5/3/2018,Amazon,49.72,debit,Platinum Card,1
5/4/2018,Grocery Store,42.23,debit,Platinum Card,11
5/4/2018,Netflix,11.76,debit,Platinum Card,5
5/5/2018,Bojangles,7.27,debit,Platinum Card,13
5/5/2018,Pizza Place,20.52,debit,Platinum Card,13
5/6/2018,Hardware Store,22.37,debit,Platinum Card,6
5/6/2018,Amazon,117.69,debit,Platinum Card,1
5/9/2018,Credit Card Payment,601.4,credit,Platinum Card,4
5/9/2018,Credit Card Payment,601.4,debit,Checking,4
5/9/2018,Spotify,10.69,debit,Platinum Card,8
5/9/2018,Gas Company,30,debit,Checking,7
5/10/2018,Phone Company,111.18,debit,Checking,9
5/11/2018,Grocery Store,57.32,debit,Platinum Card,11
5/11/2018,Biweekly Paycheck,2000,credit,Checking,12
5/11/2018,Mike's Construction Co.,8000,debit,Checking,6
5/12/2018,Liquor Store,27.77,debit,Platinum Card,17
5/12/2018,Shell,33.3,debit,Platinum Card,10
5/12/2018,Fancy Restaurant,78,debit,Platinum Card,3
5/14/2018,Grocery Store,67.63,debit,Silver Card,11
5/15/2018,Power Company,60,debit,Checking,7
5/17/2018,Barbershop,29,debit,Silver Card,16
5/17/2018,City Water Charges,35,debit,Checking,7
5/18/2018,State Farm,75,debit,Checking,18
5/18/2018,Amazon,6.41,debit,Platinum Card,1
5/19/2018,Credit Card Payment,207.08,credit,Platinum Card,4
5/19/2018,Grocery Store,31,debit,Silver Card,11
5/19/2018,Greek Restaurant,23.26,debit,Silver Card,3
5/21/2018,Credit Card Payment,283.07,credit,Silver Card,4
5/21/2018,Thai Restaurant,26.04,debit,Silver Card,3
5/21/2018,Amazon,32.5,debit,Platinum Card,1
5/22/2018,Credit Card Payment,283.07,debit,Checking,4
5/24/2018,BP,39.44,debit,Silver Card,10
5/25/2018,Internet Service Provider,74.99,debit,Checking,15
5/25/2018,Biweekly Paycheck,2000,credit,Checking,12
5/28/2018,Movie Theater,9.62,debit,Silver Card,19
5/28/2018,Grocery Store,91.03,debit,Silver Card,11
5/29/2018,Movie Theater,20,debit,Silver Card,5
5/29/2018,Movie Theater,6.25,debit,Silver Card,5
6/1/2018,BP,38.63,debit,Platinum Card,10
6/1/2018,Grocery Store,6.11,debit,Platinum Card,11
6/1/2018,Amazon,13.13,debit,Platinum Card,1
6/2/2018,Credit Card Payment,235.18,credit,Silver Card,4
6/2/2018,Credit Card Payment,466.36,credit,Platinum Card,4
6/3/2018,Italian Restaurant,65.81,debit,Platinum Card,3
6/4/2018,Credit Card Payment,235.18,debit,Checking,4
6/4/2018,Grocery Store,24.12,debit,Platinum Card,11
6/4/2018,Mortgage Payment,1247.44,debit,Checking,2
6/4/2018,Netflix,11.76,debit,Platinum Card,5
6/6/2018,Starbucks,4,debit,Platinum Card,14
6/8/2018,Biweekly Paycheck,2000,credit,Checking,12
6/8/2018,Gas Company,30,debit,Checking,7
6/9/2018,Chick-Fil-A,16.18,debit,Platinum Card,13
6/9/2018,Grocery Store,9.56,debit,Platinum Card,11
6/9/2018,Spotify,10.69,debit,Platinum Card,8
6/10/2018,Grocery Store,46.01,debit,Platinum Card,11
6/12/2018,Grocery Store,12.55,debit,Platinum Card,11
6/12/2018,Phone Company,89.46,debit,Checking,9
6/14/2018,Credit Card Payment,283.44,credit,Platinum Card,4
6/14/2018,Credit Card Payment,283.44,debit,Checking,4
6/14/2018,Grocery Store,7.02,debit,Platinum Card,11
6/15/2018,Power Company,60,debit,Checking,7
6/16/2018,Starbucks,3,debit,Platinum Card,14
6/16/2018,Pizza Place,22.66,debit,Platinum Card,13
6/16/2018,Grocery Store,13.9,debit,Platinum Card,11
6/18/2018,City Water Charges,35,debit,Checking,7
6/19/2018,Shell,38.52,debit,Platinum Card,10
6/19/2018,Grocery Store,2.69,debit,Platinum Card,11
6/20/2018,State Farm,75,debit,Checking,18
6/20/2018,Credit Card Payment,89.45,credit,Silver Card,4
6/20/2018,Barbershop,30,debit,Silver Card,16
6/21/2018,Credit Card Payment,89.45,debit,Checking,4
6/22/2018,Biweekly Paycheck,2000,credit,Checking,12
6/23/2018,Brunch Restaurant,8.5,debit,Silver Card,3
6/23/2018,Amazon,74.97,debit,Platinum Card,1
6/25/2018,Credit Card Payment,942.76,credit,Platinum Card,4
6/25/2018,Credit Card Payment,942.76,debit,Checking,4
6/25/2018,Internet Service Provider,74.99,debit,Checking,15
6/26/2018,Grocery Store,9.62,debit,Silver Card,11
6/27/2018,Starbucks,3.5,debit,Silver Card,14
6/27/2018,Pizza Place,22.66,debit,Platinum Card,13
6/28/2018,Grocery Store,7.57,debit,Silver Card,11
7/1/2018,Amazon,13.13,debit,Platinum Card,1
7/2/2018,Mortgage Payment,1247.44,debit,Checking,2
7/2/2018,Movie Theater,25,debit,Silver Card,5
7/2/2018,American Tavern,36.44,debit,Silver Card,3
7/4/2018,BP,34.48,debit,Silver Card,10
7/4/2018,Netflix,11.76,debit,Platinum Card,5
7/5/2018,Grocery Store,44.25,debit,Silver Card,11
7/5/2018,Amazon,212.32,debit,Platinum Card,1
7/6/2018,Amazon Video,6.41,debit,Platinum Card,5
7/6/2018,Biweekly Paycheck,2000,credit,Checking,12
7/8/2018,Credit Card Payment,259.87,credit,Platinum Card,4
7/9/2018,Credit Card Payment,242.16,credit,Silver Card,4
7/9/2018,Credit Card Payment,259.87,debit,Checking,4
7/9/2018,Spotify,10.69,debit,Platinum Card,8
7/10/2018,Credit Card Payment,242.16,debit,Checking,4
7/10/2018,Grocery Store,5.39,debit,Silver Card,11
7/10/2018,Gas Company,30,debit,Checking,7
7/11/2018,Phone Company,89.46,debit,Checking,9
7/14/2018,Go Mart,33.51,debit,Silver Card,10
7/15/2018,Circle K,36.24,debit,Platinum Card,10
7/17/2018,Wendy's,15.23,debit,Silver Card,13
7/17/2018,City Water Charges,35,debit,Checking,7
7/17/2018,Power Company,60,debit,Checking,7
7/18/2018,Irish Restaurant,28.54,debit,Platinum Card,17
7/18/2018,State Farm,75,debit,Checking,18
7/20/2018,Credit Card Payment,61.43,credit,Silver Card,4
7/20/2018,Credit Card Payment,102.88,credit,Platinum Card,4
7/20/2018,Credit Card Payment,102.88,debit,Checking,4
7/20/2018,Biweekly Paycheck,2000,credit,Checking,12
7/21/2018,Grocery Store,28.93,debit,Platinum Card,11
7/21/2018,Barbershop,30,debit,Platinum Card,16
7/23/2018,Credit Card Payment,61.43,debit,Checking,4
7/23/2018,Starbucks,9.58,debit,Platinum Card,13
7/24/2018,American Tavern,26.59,debit,Platinum Card,3
7/25/2018,Internet Service Provider,74.99,debit,Checking,15
7/26/2018,Conoco,33.67,debit,Silver Card,10
7/28/2018,Grocery Store,7.61,debit,Silver Card,11
7/30/2018,American Tavern,34.38,debit,Silver Card,3
7/31/2018,Brewing Company,6.6,debit,Silver Card,17
8/1/2018,Amazon,13.13,debit,Platinum Card,1
8/2/2018,Credit Card Payment,816.27,credit,Platinum Card,4
8/2/2018,Shell,40.44,debit,Silver Card,10
8/2/2018,Mortgage Payment,1247.44,debit,Checking,2
8/3/2018,Grocery Store,6.27,debit,Silver Card,11
8/3/2018,Biweekly Paycheck,2000,credit,Checking,12
8/4/2018,Netflix,11.76,debit,Platinum Card,5
8/6/2018,Amazon,76.47,debit,Platinum Card,1
8/9/2018,Spotify,10.69,debit,Platinum Card,8
8/9/2018,Gas Company,30,debit,Checking,7
8/10/2018,Phone Company,89.4,debit,Checking,9
8/11/2018,Chick-Fil-A,13.67,debit,Platinum Card,13
8/11/2018,Valero,33.66,debit,Platinum Card,10
8/15/2018,Credit Card Payment,269.56,credit,Silver Card,4
8/15/2018,Credit Card Payment,159.38,credit,Platinum Card,4
8/15/2018,Shell,41.07,debit,Platinum Card,10
8/15/2018,Grocery Store,5.64,debit,Platinum Card,11
8/15/2018,Power Company,60,debit,Checking,7
8/16/2018,Credit Card Payment,269.56,debit,Checking,4
8/16/2018,City Water Charges,35,debit,Checking,7
8/17/2018,Biweekly Paycheck,2000,credit,Checking,12
8/17/2018,Amazon,14.98,debit,Platinum Card,1
8/18/2018,Amazon,23.47,debit,Platinum Card,1
8/20/2018,State Farm,75,debit,Checking,18
8/21/2018,Credit Card Payment,34.18,credit,Silver Card,4
8/21/2018,Credit Card Payment,99.76,credit,Platinum Card,4
8/21/2018,Credit Card Payment,99.76,debit,Checking,4
8/22/2018,Credit Card Payment,34.18,debit,Checking,4
8/24/2018,American Tavern,42.31,debit,Platinum Card,3
8/27/2018,Internet Service Provider,74.99,debit,Checking,15
8/30/2018,Shell,35.65,debit,Platinum Card,10
8/31/2018,Grocery Store,11.64,debit,Platinum Card,11
8/31/2018,Biweekly Paycheck,2000,credit,Checking,12
9/1/2018,Brewing Company,47.4,debit,Platinum Card,17
9/1/2018,Amazon,13.13,debit,Platinum Card,1
9/2/2018,Amazon,109.83,debit,Platinum Card,1
9/4/2018,Credit Card Payment,687.29,credit,Platinum Card,4
9/4/2018,Credit Card Payment,687.29,debit,Checking,4
9/4/2018,Mortgage Payment,1247.44,debit,Checking,2
9/4/2018,Netflix,11.76,debit,Platinum Card,5
9/7/2018,Gas Company,30,debit,Checking,7
9/9/2018,Brewing Company,18,debit,Platinum Card,17
9/9/2018,Spotify,10.69,debit,Platinum Card,8
9/11/2018,BP,38.86,debit,Platinum Card,10
9/11/2018,Grocery Store,7.87,debit,Platinum Card,11
9/12/2018,Grocery Store,47.16,debit,Platinum Card,11
9/12/2018,Phone Company,89.4,debit,Checking,9
9/13/2018,Grocery Store,5.64,debit,Platinum Card,11
9/14/2018,Credit Card Payment,134.34,credit,Platinum Card,4
9/14/2018,Biweekly Paycheck,2000,credit,Checking,12
9/17/2018,Grocery Store,10.17,debit,Platinum Card,11
9/17/2018,Grocery Store,8.8,debit,Platinum Card,11
9/17/2018,City Water Charges,35,debit,Checking,7
9/18/2018,Grocery Store,4.32,debit,Platinum Card,11
9/18/2018,Power Company,60,debit,Checking,7
9/19/2018,State Farm,75,debit,Checking,18
9/19/2018,Barbershop,30,debit,Platinum Card,16
9/20/2018,Amazon,47.38,debit,Platinum Card,1
9/22/2018,Hardware Store,69.4,debit,Platinum Card,6
9/22/2018,Hardware Store,6.83,debit,Platinum Card,6
9/25/2018,Internet Service Provider,74.99,debit,Checking,15
9/25/2018,Sushi Restaurant,48.64,debit,Silver Card,3
9/26/2018,Starbucks,5,debit,Platinum Card,14
9/26/2018,Exxon,38,debit,Silver Card,10
9/27/2018,Valero,40.71,debit,Platinum Card,10
9/28/2018,Credit Card Payment,128.12,credit,Silver Card,4
9/28/2018,Credit Card Payment,284.96,credit,Platinum Card,4
9/28/2018,Credit Card Payment,284.96,debit,Checking,4
9/28/2018,Grocery Store,13.36,debit,Platinum Card,11
9/28/2018,Biweekly Paycheck,2000,credit,Checking,12
9/29/2018,Greek Restaurant,23.26,debit,Platinum Card,3
9/29/2018,German Restaurant,46.7,debit,Platinum Card,3
10/1/2018,Starbucks,3,debit,Platinum Card,14
10/1/2018,Credit Card Payment,128.12,debit,Checking,4
10/1/2018,Grocery Store,15.66,debit,Platinum Card,11
10/1/2018,Amazon,13.13,debit,Platinum Card,1
10/2/2018,Credit Card Payment,124.03,credit,Platinum Card,4
10/2/2018,Credit Card Payment,124.03,debit,Checking,4
10/2/2018,Mortgage Payment,1209.18,debit,Checking,2
10/4/2018,Netflix,11.76,debit,Platinum Card,5
10/6/2018,American Tavern,27,debit,Silver Card,3
10/8/2018,Shell,38.06,debit,Silver Card,10
10/8/2018,Hardware Store,80.65,debit,Silver Card,6
10/8/2018,Hardware Store,31.2,debit,Silver Card,6
10/9/2018,Spotify,10.69,debit,Platinum Card,8
10/9/2018,Amazon,19.98,debit,Platinum Card,1
10/9/2018,Gas Company,30,debit,Checking,7
10/10/2018,Grocery Store,53.68,debit,Silver Card,11
10/11/2018,Phone Company,89.4,debit,Checking,9
10/12/2018,Biweekly Paycheck,2000,credit,Checking,12
10/16/2018,Power Company,60,debit,Checking,7
10/17/2018,City Water Charges,35,debit,Checking,7
10/18/2018,State Farm,75,debit,Checking,18
10/18/2018,Grocery Store,33.55,debit,Platinum Card,11
10/18/2018,Hardware Store,45.24,debit,Platinum Card,6
10/18/2018,Brunch Restaurant,8,debit,Platinum Card,3
10/21/2018,Credit Card Payment,544.37,credit,Platinum Card,4
10/22/2018,Credit Card Payment,353.83,credit,Silver Card,4
10/22/2018,Credit Card Payment,353.83,debit,Checking,4
10/22/2018,BP,34.66,debit,Platinum Card,10
10/23/2018,Grocery Store,7.57,debit,Platinum Card,11
10/25/2018,Internet Service Provider,74.99,debit,Checking,15
10/25/2018,Amazon,29.98,debit,Platinum Card,1
10/26/2018,Biweekly Paycheck,2000,credit,Checking,12
10/27/2018,American Tavern,25.4,debit,Silver Card,3
10/28/2018,Brewing Company,12.71,debit,Platinum Card,17
10/28/2018,Seafood Restaurant,14.75,debit,Platinum Card,20
10/28/2018,Grocery Store,92.49,debit,Platinum Card,11
10/28/2018,Italian Restaurant,54,debit,Platinum Card,3
10/31/2018,Grocery Store,5.64,debit,Platinum Card,11
11/1/2018,Amazon,13.13,debit,Platinum Card,1
11/2/2018,Credit Card Payment,262.51,credit,Platinum Card,4
11/2/2018,Credit Card Payment,262.51,debit,Checking,4
11/2/2018,Mortgage Payment,1209.18,debit,Checking,2
11/3/2018,Pizza Place,23.66,debit,Platinum Card,13
11/4/2018,Netflix,11.76,debit,Platinum Card,5
11/5/2018,Shell,36.51,debit,Platinum Card,10
11/6/2018,Amazon,53.95,debit,Platinum Card,1
11/6/2018,Gas Company,30,debit,Checking,7
11/8/2018,Grocery Store,5.64,debit,Platinum Card,11
11/9/2018,Spotify,10.69,debit,Platinum Card,8
11/9/2018,Biweekly Paycheck,2000,credit,Checking,12
11/10/2018,Brewing Company,27,debit,Platinum Card,17
