Date,Description,Amount,Type,Account,CategoryID
11/10/2018,Chick-Fil-A,14.19,debit,Platinum Card,13
11/10/2018,Food Truck,24.4,debit,Platinum Card,11
11/12/2018,Grocery Store,10.18,debit,Platinum Card,11
11/12/2018,American Tavern,22.33,debit,Silver Card,3
11/13/2018,Grocery Store,4.8,debit,Platinum Card,11
11/13/2018,Grocery Store,37.43,debit,Platinum Card,11
11/13/2018,Grocery Store,10.15,debit,Platinum Card,11
11/13/2018,Phone Company,89.54,debit,Checking,9
11/14/2018,Power Company,60,debit,Checking,7
11/16/2018,City Water Charges,35,debit,Checking,7
11/17/2018,Brewing Company,22.8,debit,Platinum Card,17
11/17/2018,Hardware Store,15.47,debit,Platinum Card,6
11/17/2018,Hardware Store,6.4,debit,Platinum Card,6
11/17/2018,Greek Restaurant,23.26,debit,Platinum Card,3
11/19/2018,Brewing Company,20,debit,Silver Card,17
11/19/2018,QuikTrip,29.15,debit,Silver Card,10
11/19/2018,Hardware Store,10.02,debit,Silver Card,6
11/20/2018,State Farm,75,debit,Checking,18
11/20/2018,Credit Card Payment,421.96,credit,Platinum Card,4
11/21/2018,Grocery Store,5.64,debit,Silver Card,11
11/21/2018,Hardware Store,37.41,debit,Platinum Card,6
11/23/2018,Biweekly Paycheck,2000,credit,Checking,12
11/26/2018,American Tavern,16.8,debit,Silver Card,17
11/26/2018,Internet Service Provider,74.99,debit,Checking,15
11/27/2018,Movie Theater,17,debit,Silver Card,5
11/27/2018,American Tavern,28.4,debit,Silver Card,3
11/29/2018,Credit Card Payment,582.99,credit,Silver Card,4
11/29/2018,Credit Card Payment,751.5,credit,Platinum Card,4
11/30/2018,Credit Card Payment,582.99,debit,Checking,4
11/30/2018,Grocery Store,6.27,debit,Silver Card,11
12/1/2018,Grocery Store,5.64,debit,Silver Card,11
12/1/2018,Brunch Restaurant,8,debit,Silver Card,3
12/1/2018,Amazon,13.13,debit,Platinum Card,1
12/3/2018,BP,30.03,debit,Silver Card,10
12/3/2018,Grocery Store,148.15,debit,Silver Card,11
12/3/2018,Mortgage Payment,1209.18,debit,Checking,2
12/4/2018,Starbucks,3,debit,Silver Card,14
12/4/2018,Latin Restaurant,20.65,debit,Platinum Card,13
12/4/2018,Netflix,11.76,debit,Platinum Card,5
12/6/2018,Grocery Store,21.38,debit,Platinum Card,11
12/6/2018,Grocery Store,13.48,debit,Platinum Card,11
12/6/2018,Gas Company,40,debit,Checking,7
12/7/2018,Barbershop,30,debit,Platinum Card,16
12/7/2018,Biweekly Paycheck,2000,credit,Checking,12
12/8/2018,Grocery Store,12.64,debit,Platinum Card,11
12/9/2018,Spotify,10.69,debit,Platinum Card,8
12/11/2018,Brunch Restaurant,10.29,debit,Platinum Card,3
12/12/2018,Phone Company,89.54,debit,Checking,9
12/13/2018,Thai Restaurant,27,debit,Silver Card,3
12/14/2018,Grocery Store,21.39,debit,Silver Card,11
12/14/2018,Hardware Store,17.1,debit,Silver Card,6
12/14/2018,Power Company,60,debit,Checking,7
12/17/2018,American Tavern,63,debit,Silver Card,20
12/17/2018,BP,20.01,debit,Silver Card,10
12/17/2018,City Water Charges,35,debit,Checking,7
12/18/2018,Starbucks,3,debit,Silver Card,14
12/18/2018,Credit Card Payment,311.02,credit,Platinum Card,4
12/18/2018,Credit Card Payment,311.02,debit,Checking,4
12/18/2018,Fancy Restaurant,56.52,debit,Silver Card,3
12/18/2018,Amazon,49.99,debit,Platinum Card,1
12/18/2018,Amazon,41.72,debit,Platinum Card,1
12/18/2018,Amazon,24.3,debit,Platinum Card,1
12/19/2018,State Farm,75,debit,Checking,18
12/19/2018,Amazon,43.01,debit,Platinum Card,1
12/20/2018,Credit Card Payment,464.03,credit,Silver Card,4
12/20/2018,Shell,30.38,debit,Silver Card,10
12/21/2018,Credit Card Payment,464.03,debit,Checking,4
12/21/2018,Biweekly Paycheck,2000,credit,Checking,12
12/22/2018,New York Deli,21.38,debit,Platinum Card,13
12/22/2018,Hardware Store,22.14,debit,Platinum Card,6
12/23/2018,Hardware Store,28,debit,Platinum Card,6
12/24/2018,Hardware Store,38.4,debit,Platinum Card,6
12/26/2018,Chick-Fil-A,56.07,debit,Platinum Card,13
12/26/2018,Shell,32.47,debit,Platinum Card,10
12/26/2018,Shell,7.48,debit,Platinum Card,10
12/26/2018,Internet Service Provider,75.99,debit,Checking,15
12/26/2018,Amazon,44.99,debit,Platinum Card,1
12/28/2018,Brewing Company,12,debit,Silver Card,17
12/29/2018,Brewing Company,14,debit,Silver Card,17
12/29/2018,Credit Card Payment,860.05,credit,Platinum Card,4
12/29/2018,Grocery Store,55.04,debit,Silver Card,11
1/1/2019,Amazon,13.09,debit,Platinum Card,1
1/2/2019,Credit Card Payment,499.6,debit,Checking,4
1/3/2019,Mortgage Payment,1100,debit,Checking,2
1/3/2019,Amazon,42.1,debit,Platinum Card,1
1/4/2019,Biweekly Paycheck,2000,credit,Checking,12
1/5/2019,American Tavern,23.49,debit,Platinum Card,3
1/8/2019,Gas Company,45,debit,Checking,7
1/9/2019,Credit Card Payment,491.45,credit,Platinum Card,4
1/9/2019,Credit Card Payment,491.45,debit,Checking,4
1/9/2019,Credit Card Payment,281.84,debit,Checking,4
1/9/2019,Spotify,10.69,debit,Platinum Card,8
1/10/2019,Grocery Store,58.79,debit,Silver Card,11
1/10/2019,Barbershop,30,debit,Silver Card,16
1/10/2019,Phone Company,65,debit,Checking,9
1/14/2019,Shell,28.92,debit,Silver Card,10
1/15/2019,Grocery Store,6.06,debit,Silver Card,11
1/16/2019,City Water Charges,35,debit,Checking,7
1/16/2019,Power Company,60,debit,Checking,7
1/18/2019,State Farm,75,debit,Checking,18
1/18/2019,Biweekly Paycheck,2000,credit,Checking,12
1/21/2019,Credit Card Payment,277.99,credit,Silver Card,4
1/22/2019,Credit Card Payment,277.99,debit,Checking,4
1/24/2019,Grocery Store,21.06,debit,Silver Card,11
1/24/2019,Amazon,11.7,debit,Platinum Card,1
1/24/2019,Amazon,4.21,debit,Platinum Card,1
1/25/2019,Internet Service Provider,75,debit,Checking,15
1/31/2019,Credit Card Payment,1900,debit,Checking,4
1/31/2019,Shell,31.32,debit,Silver Card,10
2/1/2019,Biweekly Paycheck,2000,credit,Checking,12
2/1/2019,Roadside Diner,9.47,debit,Silver Card,3
2/1/2019,Amazon,13.09,debit,Platinum Card,1
2/4/2019,Hardware Store,86.97,debit,Silver Card,6
2/4/2019,Netflix,11.76,debit,Platinum Card,21
2/5/2019,Mortgage Payment,1100,debit,Checking,2
2/7/2019,Gas Company,65,debit,Checking,7
2/8/2019,Starbucks,3,debit,Platinum Card,14
2/8/2019,Thai Restaurant,27.47,debit,Platinum Card,3
2/9/2019,Spotify,10.69,debit,Platinum Card,8
2/11/2019,Starbucks,3,debit,Platinum Card,14
2/11/2019,Credit Card Payment,133.95,debit,Checking,4
2/11/2019,BP,24.01,debit,Platinum Card,10
2/12/2019,Grocery Store,30.54,debit,Platinum Card,11
2/12/2019,Phone Company,65,debit,Checking,9
2/13/2019,Grocery Store,8.21,debit,Platinum Card,11
2/15/2019,Credit Card Payment,207.47,credit,Platinum Card,4
2/15/2019,Credit Card Payment,207.47,debit,Checking,4
2/15/2019,Grocery Store,4.59,debit,Platinum Card,11
2/15/2019,Biweekly Paycheck,2000,credit,Checking,12
2/15/2019,Power Company,60,debit,Checking,7
2/16/2019,Brewing Company,8,debit,Platinum Card,17
2/16/2019,American Tavern,32.75,debit,Platinum Card,3
2/16/2019,Amazon,37.45,debit,Platinum Card,1
2/19/2019,Credit Card Payment,574.84,debit,Checking,4
2/19/2019,City Water Charges,35,debit,Checking,7
2/20/2019,State Farm,75,debit,Checking,18
2/20/2019,Credit Card Payment,292.54,credit,Silver Card,4
2/20/2019,Barbershop,30,debit,Platinum Card,16
2/21/2019,Credit Card Payment,292.54,debit,Checking,4
2/21/2019,Grocery Store,46.96,debit,Silver Card,11
2/25/2019,BP,33.8,debit,Silver Card,10
2/25/2019,Internet Service Provider,75,debit,Checking,15
2/27/2019,Roadside Diner,25.77,debit,Silver Card,3
2/28/2019,Grocery Store,32.07,debit,Silver Card,11
3/1/2019,Biweekly Paycheck,2000,credit,Checking,12
3/1/2019,Amazon,13.09,debit,Platinum Card,1
3/4/2019,Grocery Store,92.04,debit,Silver Card,11
3/4/2019,Mortgage Payment,1100,debit,Checking,2
3/4/2019,Netflix,11.76,debit,Platinum Card,21
3/5/2019,Fancy Restaurant,7,debit,Silver Card,3
3/6/2019,Credit Card Payment,491.86,debit,Checking,4
3/8/2019,BP,34.08,debit,Platinum Card,10
3/8/2019,Amazon,27.17,debit,Platinum Card,1
3/8/2019,Gas Company,49,debit,Checking,7
3/9/2019,Spotify,10.69,debit,Platinum Card,8
3/12/2019,Phone Company,65,debit,Checking,9
3/12/2019,Bakery Place,3.02,debit,Platinum Card,3
3/13/2019,Credit Card Payment,532.86,credit,Platinum Card,4
3/13/2019,Credit Card Payment,301.79,credit,Silver Card,4
3/14/2019,Credit Card Payment,305.27,debit,Checking,4
3/14/2019,Credit Card Payment,301.79,debit,Checking,4
3/14/2019,Brunch Restaurant,8,debit,Platinum Card,3
3/15/2019,Biweekly Paycheck,2000,credit,Checking,12
3/15/2019,Power Company,60,debit,Checking,7
3/18/2019,Best Buy,320.99,debit,Platinum Card,22
3/18/2019,Grocery Store,16.23,debit,Platinum Card,11
3/19/2019,Amazon,13.84,debit,Platinum Card,1
3/19/2019,City Water Charges,35,debit,Checking,7
3/20/2019,State Farm,75,debit,Checking,18
3/22/2019,BP,37.51,debit,Platinum Card,10
3/23/2019,Starbucks,5.2,debit,Platinum Card,14
3/25/2019,Internet Service Provider,75,debit,Checking,15
3/26/2019,Amazon,16.04,debit,Platinum Card,1
3/27/2019,Brewing Company,49.63,debit,Platinum Card,17
3/27/2019,Grocery Store,4.46,debit,Platinum Card,11
3/29/2019,Biweekly Paycheck,2000,credit,Checking,12
3/30/2019,Starbucks,12.84,debit,Platinum Card,14
3/31/2019,Credit Card Payment,957.6,credit,Platinum Card,4
4/1/2019,Credit Card Payment,1552.65,debit,Checking,4
4/1/2019,Credit Card Payment,600.51,credit,Platinum Card,4
4/1/2019,Amazon,13.09,debit,Platinum Card,1
4/2/2019,Mortgage Payment,1100,debit,Checking,2
4/4/2019,Grocery Store,5.64,debit,Platinum Card,11
4/4/2019,Amazon,35.9,debit,Platinum Card,1
4/4/2019,Netflix,11.76,debit,Platinum Card,21
4/6/2019,Amazon,27.54,debit,Platinum Card,1
4/8/2019,Gas Company,30,debit,Checking,7
4/9/2019,Credit Card Payment,436.75,debit,Checking,4
4/9/2019,Grocery Store,10.7,debit,Platinum Card,11
4/9/2019,Barbershop,30,debit,Platinum Card,16
4/9/2019,Spotify,10.69,debit,Platinum Card,8
4/10/2019,Phone Company,65,debit,Checking,9
4/12/2019,Best Buy,44.93,debit,Silver Card,22
4/12/2019,Grocery Store,41.34,debit,Platinum Card,11
4/12/2019,Biweekly Paycheck,2000,credit,Checking,12
4/13/2019,QuikTrip,38.94,debit,Platinum Card,10
4/13/2019,Grocery Store,16.87,debit,Platinum Card,11
4/13/2019,Vietnamese Restaurant,20.64,debit,Platinum Card,3
4/15/2019,Power Company,60,debit,Checking,7
4/16/2019,City Water Charges,35,debit,Checking,7
4/18/2019,State Farm,75,debit,Checking,18
4/18/2019,Credit Card Payment,604.32,credit,Silver Card,4
4/18/2019,Credit Card Payment,458.1,credit,Platinum Card,4
4/19/2019,Credit Card Payment,604.32,debit,Checking,4
4/19/2019,Grocery Store,10.89,debit,Platinum Card,11
4/22/2019,Brewing Company,14.4,debit,Silver Card,17
4/22/2019,Greek Restaurant,64.52,debit,Silver Card,3
4/23/2019,Hardware Store,29.56,debit,Silver Card,6
4/25/2019,Internet Service Provider,75,debit,Checking,15
4/26/2019,Biweekly Paycheck,2000,credit,Checking,12
4/27/2019,Brewing Company,40,debit,Platinum Card,17
4/27/2019,Credit Card Payment,268.96,credit,Silver Card,4
4/27/2019,American Tavern,14.74,debit,Silver Card,3
4/29/2019,Credit Card Payment,268.96,debit,Checking,4
4/29/2019,Grocery Store,5.64,debit,Platinum Card,11
4/30/2019,BP,39.08,debit,Platinum Card,10
5/1/2019,Amazon,13.09,debit,Platinum Card,1
5/2/2019,Mortgage Payment,1100,debit,Checking,2
5/3/2019,Credit Card Payment,758.07,debit,Checking,4
5/4/2019,Netflix,13.9,debit,Platinum Card,21
5/6/2019,Amazon,16.94,debit,Platinum Card,1
5/7/2019,Amazon,38.56,debit,Platinum Card,1
5/9/2019,Best Buy,331.69,debit,Platinum Card,22
5/9/2019,Spotify,10.69,debit,Platinum Card,8
5/9/2019,Target,3.2,debit,Platinum Card,1
5/9/2019,Gas Company,30,debit,Checking,7
5/10/2019,Best Buy,21.39,debit,Silver Card,22
5/10/2019,Phone Company,65,debit,Checking,9
5/10/2019,Biweekly Paycheck,2000,credit,Checking,12
5/13/2019,Credit Card Payment,480.88,debit,Checking,4
5/13/2019,QuikTrip,35.24,debit,Silver Card,10
5/13/2019,Fancy Restaurant,98.19,debit,Silver Card,3
5/13/2019,Greek Restaurant,23.11,debit,Silver Card,3
5/14/2019,Grocery Store,2.02,debit,Silver Card,11
5/15/2019,Power Company,60,debit,Checking,7
5/17/2019,Credit Card Payment,575.33,credit,Platinum Card,4
5/17/2019,City Water Charges,35,debit,Checking,7
5/20/2019,State Farm,75,debit,Checking,18
5/20/2019,Credit Card Payment,415.47,debit,Checking,4
5/20/2019,American Tavern,32.53,debit,Silver Card,3
5/24/2019,Credit Card Payment,765.68,credit,Silver Card,4
5/24/2019,Hardware Store,27.96,debit,Platinum Card,6
5/24/2019,Biweekly Paycheck,2000,credit,Checking,12
5/24/2019,Brunch Restaurant,8,debit,Platinum Card,3
5/25/2019,QuikTrip,36.76,debit,Platinum Card,10
5/25/2019,Hardware Store,30.99,debit,Platinum Card,6
5/27/2019,Mexican Restaurant,34.33,debit,Platinum Card,3
5/28/2019,Credit Card Payment,765.68,debit,Checking,4
5/30/2019,Internet Service Provider,75,debit,Checking,15
5/30/2019,American Tavern,34.82,debit,Platinum Card,3
6/1/2019,Amazon,13.09,debit,Platinum Card,1
6/3/2019,Starbucks,2.75,debit,Platinum Card,14
6/3/2019,Credit Card Payment,260.95,credit,Platinum Card,4
6/3/2019,Mortgage Payment,1100,debit,Checking,2
6/4/2019,Barbershop,30,debit,Platinum Card,16
6/4/2019,Netflix,13.9,debit,Platinum Card,21
6/5/2019,Grocery Store,23,debit,Platinum Card,11
6/5/2019,Mexican Restaurant,23.24,debit,Platinum Card,3
6/6/2019,Starbucks,3.75,debit,Platinum Card,14
6/6/2019,Grocery Store,5.64,debit,Platinum Card,11
6/7/2019,Credit Card Payment,458.56,debit,Checking,4
6/7/2019,Biweekly Paycheck,2000,credit,Checking,12
6/7/2019,Gas Company,30,debit,Checking,7
6/9/2019,Spotify,10.69,debit,Platinum Card,8
6/12/2019,Phone Company,65,debit,Checking,9
6/13/2019,Credit Card Payment,152.72,credit,Platinum Card,4
6/13/2019,Credit Card Payment,152.72,debit,Checking,4
6/14/2019,Grocery Store,10.69,debit,Silver Card,11
6/15/2019,BP,33.16,debit,Silver Card,10
6/17/2019,City Water Charges,35,debit,Checking,7
6/17/2019,Power Company,60,debit,Checking,7
6/18/2019,Brewing Company,15,debit,Silver Card,17
6/18/2019,Shell,41.83,debit,Silver Card,10
6/19/2019,State Farm,75,debit,Checking,18
6/20/2019,Credit Card Payment,375.26,debit,Checking,4
6/20/2019,Mike's Construction Co.,9200,debit,Checking,6
6/20/2019,Credit Card Payment,100.68,credit,Silver Card,4
6/21/2019,Credit Card Payment,100.68,debit,Checking,4
6/21/2019,Biweekly Paycheck,2000,credit,Checking,12
6/24/2019,Brewing Company,15,debit,Silver Card,17
6/28/2019,BP,30.64,debit,Silver Card,10
6/30/2019,Internet Service Provider,75,debit,Checking,15
7/1/2019,Starbucks,7,debit,Silver Card,14
7/1/2019,Grocery Store,99.47,debit,Silver Card,11
7/1/2019,Hawaiian Grill,24.97,debit,Silver Card,3
7/1/2019,Thai Restaurant,24,debit,Silver Card,3
7/1/2019,Amazon,13.09,debit,Platinum Card,1
7/2/2019,Hardware Store,229.9,debit,Platinum Card,6
7/2/2019,Mortgage Payment,1100,debit,Checking,2
7/4/2019,Netflix,13.9,debit,Platinum Card,21
7/5/2019,Brewing Company,19,debit,Silver Card,17
7/5/2019,Biweekly Paycheck,2250,credit,Checking,12
7/6/2019,Credit Card Payment,220.08,credit,Silver Card,4
7/6/2019,Grocery Store,92.98,debit,Platinum Card,11
7/6/2019,Greek Restaurant,23.26,debit,Platinum Card,3
7/7/2019,Hardware Store,103.14,debit,Platinum Card,6
7/8/2019,Credit Card Payment,305.28,debit,Checking,4
7/8/2019,Credit Card Payment,220.08,debit,Checking,4
7/9/2019,Credit Card Payment,549.72,credit,Platinum Card,4
7/9/2019,Spotify,10.69,debit,Platinum Card,8
7/10/2019,Phone Company,65,debit,Checking,9
7/10/2019,Gas Company,30,debit,Checking,7
7/15/2019,Grocery Store,87.14,debit,Silver Card,11
7/16/2019,Amazon,89.99,debit,Platinum Card,1
7/16/2019,Power Company,60,debit,Checking,7
7/17/2019,City Water Charges,35,debit,Checking,7
7/18/2019,State Farm,75,debit,Checking,18
7/18/2019,Credit Card Payment,814.5,debit,Checking,4
7/18/2019,BP,36.42,debit,Silver Card,10
7/18/2019,Grocery Store,29.83,debit,Platinum Card,11
7/18/2019,Brunch Restaurant,8.82,debit,Platinum Card,3
7/19/2019,Credit Card Payment,115.52,credit,Platinum Card,4
7/19/2019,Biweekly Paycheck,2250,credit,Checking,12
7/19/2019,Mexican Restaurant,28,debit,Platinum Card,3
7/22/2019,Credit Card Payment,257.08,credit,Silver Card,4
7/22/2019,Thai Restaurant,26.67,debit,Silver Card,3
7/23/2019,Credit Card Payment,257.08,debit,Checking,4
7/24/2019,Starbucks,2.5,debit,Silver Card,14
7/27/2019,Barbershop,30,debit,Silver Card,16
7/28/2019,Hardware Store,44.31,debit,Platinum Card,6
7/29/2019,Grocery Store,5.35,debit,Platinum Card,11
7/29/2019,Fancy Restaurant,44.92,debit,Silver Card,3
7/30/2019,Grocery Store,15.77,debit,Platinum Card,11
7/30/2019,Internet Service Provider,75,debit,Checking,15
8/1/2019,Amazon,13.09,debit,Platinum Card,1
8/2/2019,Mortgage Payment,1100,debit,Checking,2
8/2/2019,Biweekly Paycheck,2250,credit,Checking,12
8/3/2019,BP,36.36,debit,Platinum Card,10
8/3/2019,Grocery Store,3.96,debit,Platinum Card,11
8/3/2019,American Tavern,23.47,debit,Platinum Card,3
8/4/2019,Netflix,13.9,debit,Platinum Card,21
8/5/2019,Brewing Company,18,debit,Silver Card,17
8/5/2019,Credit Card Payment,349.28,credit,Platinum Card,4
8/5/2019,Credit Card Payment,117.65,credit,Silver Card,4
8/6/2019,Credit Card Payment,521.17,debit,Checking,4
8/6/2019,Credit Card Payment,117.65,debit,Checking,4
8/6/2019,Hardware Store,125,debit,Checking,6
8/8/2019,Grocery Store,11.72,debit,Silver Card,11
8/9/2019,Spotify,10.69,debit,Platinum Card,8
8/9/2019,Gas Company,30,debit,Checking,7
8/12/2019,Phone Company,65,debit,Checking,9
8/12/2019,Thai Restaurant,26.67,debit,Silver Card,3
8/14/2019,Starbucks,2.75,debit,Platinum Card,14
8/15/2019,Credit Card Payment,335.2,debit,Checking,4
8/15/2019,Power Company,60,debit,Checking,7
8/16/2019,Biweekly Paycheck,2250,credit,Checking,12
8/16/2019,City Water Charges,35,debit,Checking,7
8/17/2019,Credit Card Payment,87.17,credit,Platinum Card,4
8/17/2019,Grocery Store,33.15,debit,Platinum Card,11
8/17/2019,Barbershop,19,debit,Platinum Card,16
8/17/2019,American Tavern,3.5,debit,Platinum Card,3
8/19/2019,Credit Card Payment,1248.95,debit,Checking,4
8/20/2019,State Farm,75,debit,Checking,18
8/20/2019,Starbucks,2.75,debit,Platinum Card,14
8/21/2019,Shell,34.69,debit,Platinum Card,10
8/23/2019,Starbucks,2.75,debit,Platinum Card,14
8/25/2019,Brunch Restaurant,39.43,debit,Platinum Card,3
8/26/2019,Hardware Store,66.75,debit,Silver Card,6
8/29/2019,Starbucks,3,debit,Platinum Card,14
8/30/2019,Starbucks,2.75,debit,Platinum Card,14
8/30/2019,Internet Service Provider,75,debit,Checking,15
8/30/2019,Biweekly Paycheck,2250,credit,Checking,12
8/31/2019,Hardware Store,68.04,debit,Platinum Card,6
8/31/2019,BBQ Restaurant,41.78,debit,Silver Card,3
9/1/2019,Amazon,13.09,debit,Platinum Card,1
9/3/2019,Mortgage Payment,1100,debit,Checking,2
9/3/2019,Fancy Restaurant,41.24,debit,Silver Card,3
9/4/2019,Netflix,13.9,debit,Platinum Card,21
9/5/2019,Starbucks,3.75,debit,Platinum Card,14
9/6/2019,Credit Card Payment,1390.37,credit,Platinum Card,4
9/6/2019,Credit Card Payment,1390.37,debit,Checking,4
9/6/2019,Credit Card Payment,502.75,debit,Checking,4
9/7/2019,Brewing Company,12.87,debit,Platinum Card,17
9/8/2019,Brewing Company,19.3,debit,Platinum Card,17
9/9/2019,Shell,28.77,debit,Platinum Card,10
9/9/2019,Grocery Store,65.09,debit,Silver Card,11
9/9/2019,Hardware Store,26.25,debit,Silver Card,6
9/9/2019,Spotify,10.69,debit,Platinum Card,8
9/9/2019,Gas Company,30,debit,Checking,7
9/11/2019,Credit Card Payment,360.56,credit,Silver Card,4
9/11/2019,Phone Company,65,debit,Checking,9
9/12/2019,Credit Card Payment,360.56,debit,Checking,4
9/13/2019,Starbucks,2.75,debit,Platinum Card,14
9/13/2019,Biweekly Paycheck,2250,credit,Checking,12
9/14/2019,Grocery Store,46.44,debit,Platinum Card,11
9/15/2019,Amazon,47.66,debit,Platinum Card,1
9/16/2019,Credit Card Payment,90.57,debit,Checking,4
9/16/2019,Credit Card Payment,90.57,credit,Silver Card,4
9/16/2019,City Water Charges,35,debit,Checking,7
9/17/2019,Credit Card Payment,186.13,credit,Platinum Card,4
9/17/2019,Power Company,60,debit,Checking,7
9/18/2019,State Farm,75,debit,Checking,18
9/18/2019,Credit Card Payment,1606.46,debit,Checking,4
9/19/2019,Brewing Company,40.81,debit,Platinum Card,17
9/19/2019,Starbucks,2.75,debit,Platinum Card,14
9/20/2019,Credit Card Payment,9.43,credit,Silver Card,4
9/22/2019,Seafood Restaurant,131.1,debit,Platinum Card,3
9/23/2019,Credit Card Payment,9.43,debit,Checking,4
9/23/2019,Grocery Store,27.71,debit,Platinum Card,11
9/23/2019,Amazon,24.63,debit,Platinum Card,1
9/27/2019,Biweekly Paycheck,2250,credit,Checking,12
9/28/2019,BP,33.46,debit,Platinum Card,10
9/28/2019,Sheetz,4.27,debit,Platinum Card,10
9/30/2019,Starbucks,1.75,debit,Platinum Card,14
9/30/2019,Internet Service Provider,75,debit,Checking,15
